dataset,path,format,size_bytes,size,cells,genes,matrix_rows,matrix_cols,nonzero_entries,total_umis,mean_umis_per_cell,median_umis_per_cell,mean_genes_per_cell,median_genes_per_cell,notes
Jurkat,Jurkat,10x Matrix Market,2740384283,2.6 GB,145628,18082,18082,145628,776307034,2350831388.0,16142.71560414206,13733.0,5330.753934682891,5352.0,Cells from barcodes.tsv.gz; genes from features.tsv.gz; UMIs streamed from matrix.mtx.gz.
K562,K562,10x Matrix Market,3631833180,3.4 GB,312195,25349,25349,312195,1027390148,2208526873.0,7074.190403433751,6556.0,3290.8603533048254,3277.0,Cells from barcodes.tsv.gz; genes from features.tsv.gz; UMIs streamed from matrix.mtx.gz.
Norman-Weissman 2019,NormanWeissman2019/NormanWeissman2019_filtered.h5ad,H5AD (csc_matrix),698680199,666.3 MB,111445,33694,111445,33694,361582621,6313809.0,56.654035622953025,54.0,3244.493884875948,3233.0,Per-cell UMIs from obs/UMI_count. Genes/cell from obs/ngenes.
Parse 1M PBMC T1D,Parse_1M_PBMC_T1D/1M_PBMC_T1D_Parse.zip,ZIP: Matrix Market + cell metadata,3618245992,3.4 GB,987585,60664,987585,60664,1177532185,2076102131.0,2102.2009558670898,1656.0,1192.3350233144488,1085.0,Per-cell UMIs from cell_metadata_1M_PBMC.csv tscp_count; genes/cell from gene_count; matrix dimensions from DGE_1M_PBMC.mtx header.
Replogle RPE1,Replogle_RPE1/rpe1_raw_singlecell_01.h5ad,H5AD (dense),8700873216,8.1 GB,247914,8749,247914,8749,,3379291566.0,13630.902514581669,12126.0,,,Per-cell UMIs from obs/UMI_count.
FedscGen PBMC,FedscGen/PBMC.h5ad,H5AD (dense),2146979296,2.0 GB,15476,866,15476,866,,79815363.0,5157.363853708969,4497.5,1618.4705996381495,1484.0,Per-cell counts from obs/n_counts. Genes/cell from obs/n_genes.
FedscGen Human Pancreas,FedscGen/HumanPancreas.h5ad,H5AD (dense),1027152638,979.6 MB,14767,1710,14767,1710,,2881930597.709961,195160.19487437943,7955.0,3446.529288277917,2393.0,Per-cell counts from obs/n_counts. Genes/cell from obs/n_genes.
BMMC Multiome GEX,Bone_Marrow_BMMCs/multiome_gex_processed_training.h5ad,H5AD (csc_matrix),427799408,408.0 MB,42492,13431,42492,13431,55690186,101555739.0,2389.9966817283253,1952.0,1342.0763437823591,1213.0,Per-cell counts from obs/n_counts. Genes/cell from obs/n_genes.
BMMC Multiome ATAC,Bone_Marrow_BMMCs/multiome_atac_processed_training.h5ad,H5AD (csc_matrix),1878156856,1.7 GB,42492,116490,42492,116490,143812825,309426609.0,7281.996822931375,6600.5,,,Per-cell counts from obs/nCount_peaks.
10x PBMC Multiome 3k,10x_PBMC_Multiome_3k/pbmc_granulocyte_sorted_3k_filtered_feature_bc_matrix.h5,10x feature-barcode HDF5,41498406,39.6 MB,2714,193208,193208,2714,24758118,67863777.0,25005.07627118644,25287.0,9122.372144436256,9225.0,UMIs and detected features computed from the 10x feature-barcode HDF5 sparse matrix.
Human Lung Cell Atlas core,HLCA/HLCA_core_CELLxGENE_2025-11-08.h5ad,H5AD (csr_matrix),5873641828,5.5 GB,584944,27402,584944,27402,1138668948,,,,,,Matrix shape and nonzero count read from H5AD; obs/n_counts was not present.
Smart-seq3 PBMC UMI counts,SmartSeq3_E-MTAB-8735/HCA.UMIcounts.PBMC.txt,Tab-delimited gene x cell count table,242990936,231.7 MB,3129,38630,38630,3129,6423798,30168357.0,9641.533077660595,8210.0,2052.9875359539787,1792.0,High-depth Smart-seq3 non-10x PBMC UMI count table from E-MTAB-8735; cells from columns and genes from rows.
